character_id,actor,dream_name,reality_name,role_dream,role_reality,first_appearance_scene,last_appearance_scene,total_scenes_dream,total_scenes_reality,relationship_to_diane,symbolic_function,notes
1,Naomi Watts,Betty Elms,Diane Selwyn,aspiring_actress_innocent,failed_actress_call_girl,5,37,18,11,self_innocent_persona,"hopeful_innocent_self","Central protagonist; Betty = idealized past self; Diane = real broken self"
2,Laura Harring,Rita,Camilla Rhodes,amnesiac_brunette_lover,successful_actress_ex_lover,2,37,16,5,obsessive_love_object,"object_of_desire_and_revenge","Brunette in dream; same actress plays both"
3,Justin Theroux,Adam Kesher,Adam Kesher,humiliated_director,successful_director_fiance,10,33,8,2,dream_punisher_real_rival,"hollywood_power_male_authority","Treated harshly in dream; engaged to Camilla in reality"
4,Ann Miller,Coco Lenoix,Adam's mother (Coco),apartment_manager,adams_mother_dinner_host,9,33,4,1,maternal_figure,"protective_mother_archetype","Maternal figure in both worlds"
5,Robert Forster,Detective McKnight,Detective McKnight,detective_brief,off_screen,7,16,2,0,authority_threat,"law_pursuing_diane","Brief dream appearance; in reality police are searching"
6,Brent Briscoe,Detective Domgaard,Detective Domgaard,detective_brief,off_screen,7,16,2,0,authority_threat,"law_pursuing_diane",
7,Patrick Fischler,Dan,Dan (cafe customer),dream_dreamer_within_dream,winkies_customer,3,3,1,1,witness_to_hitman_meeting,"vicarious_dread","Sees Diane meeting hitman; saw the blue key"
8,Michael Cooke,Herb,Herb (off-screen),therapist_friend,unknown,3,3,1,0,listening_persona,"witness_psychiatrist","Possibly Diane's psychiatrist"
9,Lyssie Powell,Aunt Ruth,Aunt Ruth (deceased),hovering_caretaker,deceased_benefactor,8,25,4,0,absent_loved_caretaker,"unconditional_love_lost","Already dead in reality; her money funded Diane's LA dream"
10,Lori Heuring,Diane Selwyn (corpse),Diane Selwyn,dead_body_in_dream,suicide_victim,22,36,2,11,literal_self_dead,"self_already_dying","Diane sees her own corpse in the dream"
11,Melissa George,Camilla Rhodes (blonde),Camilla Rhodes (blonde wig),audition_winner,party_kissing_partner,10,33,3,1,replacement_for_brunette,"the_other_woman","Different actress same character name; ironic doubling"
12,Mark Pellegrino,Joe Messing,Joe Messing,bumbling_hitman,competent_hitman,12,34,2,1,agent_of_violence,"hand_of_diane_will","Killed in dream; succeeds in reality"
13,Monty Montgomery,The Cowboy,The Cowboy,mythic_arbiter,party_attendee,17,33,3,1,supernatural_judgment,"jungian_anima_or_judge","Three appearances: pretty good if good once etc."
14,Michael J. Anderson,Mr. Roque,off-screen,wheelchair_executive,not_in_reality,4,11,2,0,unyielding_authority,"hollywood_power","Wheelchair-bound silent ruler"
15,Dan Hedaya,Vincenzo Castigliane,Vincenzo Castigliane,mob_brother_threatening,party_attendee,10,33,1,1,coercive_force,"mafia_corruption","Brothers force the casting"
16,Angelo Badalamenti,Luigi Castigliane,Luigi Castigliane,espresso_spitting_brother,party_attendee,10,33,1,1,coercive_force,"mafia_corruption","Famously spits espresso into napkin"
17,Lee Grant,Louise Bonner,off-screen,prophetic_neighbor,not_in_reality,15,15,1,0,oracle,"warning_voice","Tells Coco 'someone is in trouble'"
18,Cori Glazer,Blue-Haired Lady,off-screen,silencio_audience,not_in_reality,24,37,2,0,observer_silencio,"final_arbiter","Says final word 'Silencio'"
19,Geno Silva,Cookie / Magician (Bondar),Magician (Bondar),hotel_manager_and_mc,club_silencio_mc,15,24,2,0,seedy_underworld,"magician_of_illusions","Same actor plays both - dream doubling"
20,Rebekah Del Rio,Rebekah Del Rio (dream),Rebekah Del Rio (real),crying_singer_collapse,party_singer,24,33,1,1,emotional_catharsis,"voice_of_grief","Sings 'Llorando' - song continues after she falls"
21,Bonnie Aarons,Bum behind Winkies,Bum behind Winkies,monstrous_face,monstrous_face,3,36,2,1,horror_within,"diane_inner_evil","Holds blue box; emerges as Diane's repressed self"
22,Lyssie Powell,Old Couple (Irene husband),Old Couple at airport,benevolent_then_demonic,grandparents_demons,5,36,2,1,split_grandparents,"abuse_perpetrators_innocence","Same couple at airport laugh maniacally then return as demons"
23,Wayne Grace,Bob Brooker,Bob Brooker,disinterested_director,disinterested_director,19,28,1,1,career_rejector,"professional_dismissal","'It'll do'"
24,James Karen,Wally Brown,Wally Brown,kind_old_director,family_friend,19,33,1,1,kindly_mentor,"benevolent_authority","Connection to Aunt Ruth"
25,Chad Everett,Jimmy Katz / Woody Katz,off-screen,sleazy_audition_actor,not_in_reality,19,19,1,0,predatory_male,"abuse_metaphor","Audition scene reveals abuse subtext"
