symbol_id,symbol_name,category,first_appearance_scene,total_appearances,scenes_appearing,world_dream_or_reality,interpretation,color,notes
1,blue_box,object,18,4,"18,24,25,36",both,locked_truth_of_camillas_death,blue,"Found in Betty's purse at Silencio; opens to nothingness; demons emerge in real world"
2,blue_key,object,18,5,"18,25,34,35,36",both,signal_of_completed_murder,blue,"Hitman tells Diane she'll find this when 'it's done'; same key in dream signifies repressed truth"
3,red_lampshade,prop,31,3,"31,33,35",reality,memory_of_pivotal_moments,red,"Lynch clue #2: Notice the red lampshade. Recurring lit moments"
4,coffee_cup,prop,10,8,"10,13,27,28,29,33,35,36",both,domestic_betrayal_marker,brown,"Lynch clue #6: Notice the robe, ashtray, coffee cup. Always present at Diane's couch"
5,ashtray,prop,27,4,"27,29,30,35",reality,marker_of_diane_alone,grey,"Lynch clue #6 - present in Diane's reality scenes"
6,white_robe,clothing,27,4,"27,28,29,35",reality,diane_disrobed_state,white,"Lynch clue #6 - what Diane is wearing"
7,gilda_poster,prop,9,1,"9",dream,inspiration_for_rita_name,red,"Rita Hayworth poster in bathroom - origin of Rita name"
8,jitterbug_trophy,prop,1,2,"1,33",both,past_self_glory,gold,"Won contest in Deep River Ontario - mentioned at dinner party"
9,phones_red,prop,4,5,"4,11,15,16,31",dream,communication_of_will,red,"Mr. Roque's phone chain; Camilla calling Diane to party"
10,limousine,vehicle,2,3,"2,32,33",both,ride_to_destiny,black,"Same words 'we don't stop here' in both"
11,blonde_wig,prop,23,3,"23,25,37",dream,merging_identities,blonde,"Rita transforms into Betty's double"
12,money_bag,prop,18,2,"18,34",both,payment_for_killing,green,"Same money bag in dream and reality - what hitman is paid"
13,silencio_curtains,setting,24,2,"24,37",dream,illusion_revealed,red,"Red curtains at Club Silencio"
14,winkies_neon,setting,3,2,"3,34",both,memory_node,yellow,"Site of murder pact and dream haunting"
15,bum_face,character_object,3,3,"3,25,36",both,inner_horror,grey,"Behind Winkies; emerges from blue box; appears in Diane's dying face"
16,gun,object,36,1,"36",reality,suicide_weapon,black,"In bedside drawer"
17,pillow,prop,1,3,"1,26,36",both,sleeping_dying,white,"Camera falls onto pillow at start; Diane wakes on it; dies on it"
18,sylvia_north_script,prop,19,1,"19",dream,abuse_subtext_revealed,paper,"Audition script with abuse undertones"
19,this_is_the_girl_photo,prop,10,4,"10,17,33",dream,coercive_casting,headshot,"Photo of blonde Camilla shown to Adam"
20,espresso_napkin,prop,10,1,"10",dream,disgust_at_corruption,white_brown,"Luigi spits espresso into napkin"
21,paint_pink,prop,14,1,"14",dream,marking_betrayal,pink,"Adam pours pink paint in wife's jewelry box"
22,wig_box_apartment_listing,prop,16,1,"16",dream,switched_identities,beige,"Apartment directory shows D Hingle / D Selwyn"
23,broken_dishes,prop,33,1,"33",reality,broken_self,white,"Falling dishes near end metaphor"
24,jewelry_box,prop,14,1,"14",dream,private_treasures_violated,wood,"Adam's wife's jewelry destroyed"
25,cowboy_hat,clothing,17,3,"17,26,33",both,mythic_archetype,brown,"Cowboy persona's signature"
26,llorando_song,sound,24,1,"24",dream,grief_made_audible,musical,"'Crying' in Spanish - continues after singer falls"
27,no_hay_banda,dialogue,24,1,"24",dream,illusion_thesis,verbal,"'There is no band - it is all an illusion'"
28,this_is_the_girl,dialogue,10,4,"10,17,33",both,pivotal_phrase,verbal,"Said by Castigliane to force casting; said by Diane to hitman"
29,silencio_word,dialogue,24,2,"24,37",both,silence_truth_or_finality,verbal,"Said by magician and blue-haired lady"
30,club_silencio_sign,setting,24,1,"24",dream,no_more_truth,blue_neon,"Theater of illusion"
